date,sales
1/1/2017,14236.9
2/1/2017,4519.89
3/1/2017,55691.01
4/1/2017,28295.35
5/1/2017,23648.29
6/1/2017,34595.13
7/1/2017,33946.39
8/1/2017,27909.47
9/1/2017,81777.35
10/1/2017,31453.39
11/1/2017,78628.72
12/1/2017,69545.62
1/1/2018,18174.08
2/1/2018,11951.41
3/1/2018,38726.25
4/1/2018,34195.21
5/1/2018,30131.69
6/1/2018,24797.29
7/1/2018,28765.33
8/1/2018,36898.33
9/1/2018,64595.92
10/1/2018,31404.92
11/1/2018,75972.56
12/1/2018,74919.52
1/1/2019,18542.49
2/1/2019,22867.71
3/1/2019,51186.22
4/1/2019,39248.59
5/1/2019,56691.08
6/1/2019,39430.44
7/1/2019,38440.76
8/1/2019,33265.56
9/1/2019,72908.11
10/1/2019,56463.13
11/1/2019,82192.32
12/1/2019,97237.42
1/1/2020,44703.14
2/1/2020,20301.13
3/1/2020,58872.35
4/1/2020,36521.54
5/1/2020,44261.11
6/1/2020,52981.73
7/1/2020,45264.42
8/1/2020,63120.89
9/1/2020,87866.65
10/1/2020,77776.92
11/1/2020,118447.83
12/1/2020,83829.32
